paper_id,first_author,publication_year,title,publication,period,game_primary,franchise,er_code,er_confidence,kf_primary,kf_coprimary,nc_level,abstract_accessed,indigenous_paper,pokemon_cluster,irr_sample,training_set,coder_notes
Lin2020,Lin,2020,Motivating Learning by Playing Animal Crossing New Horizons: A Trending Game during the COVID-19 Pandemic,eLearn Magazine,2020-2022,,AnimalCrossing,,,,,,N,N,N,,,
Lohne2020,Lohne,2020,Never Alone: A study of articulations of indigenous religion in the video game,dissertation,2020-2022,,NeverAlone-Thunderbird,,,,,,N,Y,N,,,
Medrala2020,Medrala,2020,"By Your Powers Combined: Heroic Solutions To Climate Catastrophes In The Fifth Season, Avengers: Infinity War, And Horizon: Zero Dawn",dissertation,2020-2022,,None,,,,,,N,N,N,,,
Morey2020,Morey,2020,Hyperanimals: Inverting Nature Through Pokémon Go,ISLE: Interdisciplinary Studies in Literature and Environment,2020-2022,,Pokémon,,,,,,N,N,N,,,
Nae2020,Nae,2020,Beyond Cultural Identity: A Critique of Horizon: Zero Dawn as an Entrepreneurial Ecosystem Simulator,Postmodern Openings,2020-2022,,None,,,,,,N,N,N,,,
none2020,none,2020,Beyond Blue: a game backed by real science,Journal of Geek Studies,2020-2022,,BeyondBlue,,,,,,N,N,Y,,,
opdeBeke2020,op de Beke,2020,Anthropocene Temporality in Gaia Games,Kronoscope,2020-2022,,None,,,,,,N,N,N,,,
Poole2020,Poole,2020,"""Eco this and recycle that"": an ecolinguistic analysis of a popular digital simulation game",Critical Discourse Studies,2020-2022,,None,,,,,,N,N,N,,,
Pozzo2020,Pozzo,2020,Natureza cósmica digital: o narrar ecológico no jogo digital Outer Wilds,ANTARES: Letras E Humanidades,2020-2022,,None,,,,,,N,N,N,,,
Rangel2020,Rangel,2020,Diversidade de aves marinhas em Pokémon uma ferramenta de educação ambiental e conservação,A Bruxa,2020-2022,,Pokémon,,,,,,N,N,Y,,,
Schmidt2020,Schmidt,2020,The Garden of Humanity: The Manifestation of Hope in (Post) Apocalyptic Video Games,dissertation,2020-2022,,None,,,,,,N,N,N,,,
Seller2020,Seller,2020,"Vegetal Horrors: Blair Witch, Darkwood and Non-human Turn Game Studies",Proceedings of DiGRA 2020,2020-2022,,None,,,,,,N,N,N,,,
Sutherland2020,Sutherland,2020,Virtualizing the ‘good life’: reworking narratives of agrarianism and the rural idyll in a computer game,Agriculture and Human Values,2020-2022,,None,,,,,,N,N,N,,,
UNEP2020,UNEP,2020,Playing for the Planet Annual Impact Report 2020,Playing for the Planet Annual Impact Report 2020,2020-2022,,None,,,,,,N,N,N,,,
Abbey2021,Abbey,2021,Self- Reliance in Fallout 4: Environmental Humanities in Serious Gaming,Resilience: A Journal of the Environmental Humanities,2020-2022,,None,,,,,,N,N,N,,,
Barnes2021,Barnes,2021,Onkwehón:we play: Decolonizing videogame ecology and disrupting environmental racism,dissertation,2020-2022,,None,,,,,,N,Y,N,,,
Caracciolo2021,Caracciolo,2021,Animal Mayhem Games and Nonhuman-Oriented Thinking,The international journal of computer game research,2020-2022,,None,,,,,,N,N,N,,,
Chang2021,Chang,2021,Digital Games,The Cambridge Companion to Literature and the Anthropocene,2020-2022,,None,,,,,,N,N,N,Y,,
Crowley2021,Crowley,2021,The educational value of virtual ecologies in Red Dead Redemption 2,People and Nature,2020-2022,,RDR2,,,,,,N,N,N,,,
Deane2021,Deane,2021,"“Like harvest moon, except I ate a guy:” Graveyard Keeper’s Dark Ecology",Current Objectives of Postgraduate American Studies,2020-2022,,None,,,,,,N,N,N,,,
Dunn2021,Dunn,2021,Stepping into the Wildeverse: Evaluating the impact of augmented reality mobile gaming on pro-conservation behaviours,People and Nature,2020-2022,,None,,,,,,N,N,N,,,
