first_author,publication_year,title,publication
"UNEP",2022,"Playing for the Planet Annual Impact Report 2021","Playing for the Planet Annual Impact Report 2021"
"UNEP",2024,"Playing for the Planet Annual Impact Report 2023","Playing for the Planet Annual Impact Report 2023"
"Miranda",2022,"Educação ambiental e engajamento do jogador em “Alba: A Wild Adventure”","Extended Proceedings of the XXI Brazilian Symposium on Games and Digital Entertainment"
"van As",2022,"Environmental ethics in video games: How video games Equilinox and Everything embody the transition from an anthropocentric to an ecological worldview","dissertation"
"van Ooijen",2018,"The Killability of Fish in The Sims 3: Pets and Stardew Valley","The Computer Games Journal"
"van Ooijen",2019,"Hunting, Killing, Crafting: On the Use of Animals in Open World Games","Human IT"
"Vasso",2018,"An environmental critique of American post-apocalypse narratives: Ecocriticism and ethics","dissertation"
"Vella",2013,"The Wanderer in the Wilderness: Being in the virtual landscape in Minecraft and Proteus","The Philosophy of Computer Games Conference"
"Ventomäki",2022,"Representation of nature in Red Dead Redemption 2","dissertation"
"Endreß",2022,"Pokémon GO and Landscape","The Social Construction of Landscapes in Games"
"Wallin",2022,"Game Preserves: Digital Animals at the Brink of the Post-Anthropocene","Green Letters: Studies in Ecocriticism"
"Wander",2021,"Nature Versus Player: Skyrim Players and Modders as Ecological Force","Being Dragonborn: Critical Essays on The Elder Scrolls V: Skyrim"
"Weagly",2013,"Dirt, not soil: A unit analysis of ""Minecraft"" dirt blocks and gameworld representations of global environmental ideologies","dissertation"
"Werning",2024,"Remediating Green Practices: Landscape Photography and Nature Documentary Filmmaking in Video Games","Ecogames: Playful Perspectives on the Climate Crisis"
"Whittle",2022,"The Environmental Game Design Playbook","The Environmental Game Design Playbook"
"Wibowo",2025,"Documentary Film Video Games as a Learning Medium to Increase Awareness of Climate Change","Visual Heritage: Jurnal Kreasi Seni dan Budaya"
"Wilde",2024,"Posthumanist, post-apocalyptic, and post-anthropocentric possibilities: Kantian morals and posthuman ethics in My Friend is a Raven","Journal of Games Criticism"
"Williams",2021,"The Use of Poetry in Horizon Zero Dawn","Popular Culture Review"
"Williams",2025,"Horizon's Anthropocene: Conservation Psychology and Environmentalism","Broadening Horizon: Essays on Environment, Culture, Identity and Myth in the Game Franchise"
"Wills",2002,"Digital Dinosaurs and Artificial Life: Exploring the Culture of Nature in Computer and Video Games","Cultural Values"
"Wood",2021,"Green Games Guide: An action plan for the sector","Green Games Guide: An action plan for the sector"
"Woolbright",2015,"Where the wild games are: Ecologies in Latin American video games","Ecomedia: Key Issues"
"Woolbright",2018,"Ecofeminism and Gaia Theory in Horizon Zero Dawn","Trace: A Journal of Writing, Media, and Ecology"
"Woolbright",2024,"Giving Pandemic a Face: Ecophobia in A Plague Tale: Innocence","End-Game: Apocalyptic Video Games, Contemporary Society, and Digital Media Culture"
"Youngblood",2018,"The Endless End of the World: Queering the Eco-Apocalyptic Narrative of Final Fantasy VI","Trace: A Journal of Writing, Media, and Ecology"
"Youngblood",2024,"""Have You Ever Heard a Worm Sing?"": The Spectral Ecology of Kentucky Route Zero, Act V","Ecogames: Playful Perspectives on the Climate Crisis"
"Zhang",2010,"电子游戏在促进自然观察智能发展方面的作用","中小学电教: 综合"
"Zimmermann",2022,"Ethical Boredom in the Wilderness","Video Games and Spatiality in American Studies"
"Schmidt",2020,"The Garden of Humanity: The Manifestation of Hope in (Post) Apocalyptic Video Games","dissertation"
"Amadori",2023,"Gaming for Ecological Activism: A Multidimensional Model for Networks Articulated Through Video Games","Games and Culture"
"Andrade",2024,"Paisagem Virtual e os Green Game Jam no Enfrentamento à Crise Ambiental","LICERE - Revista Do Programa De Pós-graduação Interdisciplinar Em Estudos Do Lazer"
"Backe",2024,"Between the Lines: Using Differential Game Analysis to Develop Environmental Thinking","Ecogames: Playful Perspectives on the Climate Crisis"
"Baer",2022,"Virtually (Re)Constructed Reality: The Representation of Physical Space in Commercial Location-Based Games","25th International Academic Mindtrek conference (Academic Mindtrek 2022), November 16–18, 2022, Tampere, Finland"
"Bainbridge",2010,"Virtual Nature: Environmentalism in Two Multi-player Online Games","Journal for the Study of Religion, Nature and Culture"
"Balmford",2002,"Why Conservationists Should Heed Pokémon","Science"
"Borra",2024,"Exploring Uncharted Territory in an Adventure-Diving Game: A Framing Analysis of Subnautica’s Ecological Dead Zone, the Surrounding Online Player Discussions and User-generated Content","dissertation"
